Sample	Lowest ID	Broad group	Stage	Count	Fraction split	Representative count	Density in water column (ind./m3)
D1139-BWT1	Muggiaea atlantica	Siphonophore	Polygastric	15	32	480	
D1139-BWT1	Sagitta sp.	Chaetognath	Adult + Juvenile	14	32	448	
D1139-BWT1	Narcomedusae	Hydromedusa	Juvenile	13	32	416	
D1139-BWT1	Engraulidae	Actinopteri	Egg	9	32	288	
D1139-BWT1	Pleurobrachia bachei	Ctenophore	Adult	168	1	168	
D1139-BWT1	Pleurobrachia bachei	Ctenophore	Adult	5	32	160	
D1139-BWT1	Beroe gracilis	Ctenophore	Adult	3	32	96	
D1139-BWT1	Gastropoda	Benthic snail	Veliger	1	32	32	
D1139-BWT1	Sergestidae	Decapod	Elaphocaris	1	32	32	
D1139-BWT1	Nanomia sp. (pneumatophore)	Siphonophore	Polygastric	1	32	32	
D1139-BWT1	Bivalvia	Bivalve	Veliger	1	32	32	
D1139-BWT1	Centropages bradyi	Copepod	Adult	1	32	32	
D1139-BWT1	Calanoida	Copepod	Adult	9	1	9	
D1139-BWT1	Beroe gracilis	Ctenophore	Adult	7	1	7	
D1139-BWT1	Eucalanus californicus	Copepod	Adult	4	1	4	
D1139-BWT1	Mitrocomella sp.	Hydromedusa	Adult	3	1	3	
D1139-BWT1	Nanomia sp. (pneumatophore)	Siphonophore	Polygastric	2	1	2	
D1139-BWT1	Bolinopsis sp. (comb row)	Ctenophore	Adult	2	1	2	
D1139-BWT1	Oikopleura dioica	Appendicularia	Adult	2	1	2	
D1139-BWT1	Polychaeta (piece)	Polychaete	Adult	2	1	2	
D1139-BWT1	Cirripedia	Barnacle	Cypris	1	1	1	
D1139-BWT1	Geryonidae	Decapod	Zoea	1	1	1	
D1139-BWT1	Carcinidae	Decapod	Zoea	1	1	1	
D1139-BWT1	Clytia gregaria	Hydromedusa	Adult	1	1	1	
D1139-BWT1	Carangidae	Actinopteri	Egg	1	1	1	
D1139-BWT1	Narcomedusae	Hydromedusa	Juvenile	1	1	1	
D1139-BWT1	Caligidae	Copepod	Adult, gravid	1	1	1	
D1139-BWT1	Engraulidae	Actinopteri	Larva	1	1	1	
BIOS19-D3-Trawl1	Euchaeta sp.	Copepod	Adult	1268	32	40576	22719
BIOS19-D3-Trawl1	Temora sp.	Copepod	Adult	226	32	7232	4049
BIOS19-D3-Trawl1	Diogenes sp.	Decapod	Zoea	160	32	5120	2867
BIOS19-D3-Trawl1	Maja sp.	Decapod	Zoea	55	32	1760	985
BIOS19-D3-Trawl1	Sagitta sp.	Chaetognath	Adult	31	32	992	555
BIOS19-D3-Trawl1	Libinia sp.	Decapod	Zoea	20	32	640	358
BIOS19-D3-Trawl1	Thunnus sp.	Actinopteri	Egg	19	32	608	340
BIOS19-D3-Trawl1	Alpheidae	Decapod	Late zoea	16	32	512	287
BIOS19-D3-Trawl1	Oikopleura sp.	Larvacean	Adult	16	32	512	287
BIOS19-D3-Trawl1	Evadne sp.	Cladoceran	Adult	15	32	480	269
BIOS19-D3-Trawl1	Oithona sp.	Copepod	Adult	11	32	352	197
BIOS19-D3-Trawl1	Alpheidae	Decapod	Early zoea	11	32	352	197
BIOS19-D3-Trawl1	Engraulid elongate egg	Actinopteri	Egg	9	32	288	161
BIOS19-D3-Trawl1	Thunnus sp.	Actinopteri	Hatchling	8	32	256	143
BIOS19-D3-Trawl1	Corycaeus sp.	Copepod	Adult	7	32	224	125
BIOS19-D3-Trawl1	Thunnus sp.	Actinopteri	Larva	6	32	192	108
BIOS19-D3-Trawl1	Oncaea sp.	Copepod	Adult	5	32	160	90
