"Feature_name"	"OTU"	"sample"	"abundance"	"run"	"barcode"	"database"	"Relative_IDs"	"IDs"
"1795a02fff90f3ee9820e34e7584ac96"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Centropages"	"276_Sulc"	133	"RUN4"	"134"	"Custom"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"5517b0f91a8ab903ada0735648493bae"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Centropages"	"276_Sulc"	126	"RUN4"	"134"	"Custom"	"Eukaryota(90.64);Metazoa(90.64);Ecdysozoa(90.64);Arthropoda(90.64);Crustacea(90.64);Maxillopoda(90.64);Copepoda(90.64);Calanoida(90.64);Centropagidae(72.74);Centropages(54.74);Centropages hamatus(22.82);"	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Maxillopoda;Copepoda;Calanoida;Centropagidae;"
"ffa1d55e20d0996a8d435c2a9c6f127e"	"Eukaryota"	"110_Vogtia"	20	"RUN1"	"152"	"Custom"	"Eukaryota(90.48);Metazoa(90.48);Lophotrochozoa(90.48);Mollusca(90.48);Bivalvia(90.48);Pteriomorphia(54.29);Arcoida(54.29);Arcoidea(54.29);Arcidae(36.19);Arca(18.09);Arca noae(18.09);"	"Eukaryota	Metazoa	Lophotrochozoa	Mollusca	Bivalvia"
"6d3418aacea8b5c09800155de7d387a9"	"Eukaryota"	"110_Vogtia"	15	"RUN1"	"152"	"Custom"	"Eukaryota(90.48);Metazoa(90.48);Lophotrochozoa(90.48);Mollusca(90.48);Bivalvia(90.48);Pteriomorphia(54.29);Arcoida(54.29);Arcoidea(54.29);Arcidae(36.19);Arca(18.09);Arca noae(18.09);"	"Eukaryota	Metazoa	Lophotrochozoa	Mollusca	Bivalvia"
"67802b9c621fde3b4eba0bed6c3d50f0"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"124_Nanomia"	3806	"RUN1"	"152"	"Custom"	"Eukaryota(86.36);Metazoa(86.36);Platyhelminthes(51.89);Monogenea(34.70);Monopisthocotylea(34.70);Ancyrocephalidae(34.70);Haliotrema(17.35);Haliotrema fleti(17.35);"	"Eukaryota	Metazoa"
"b6fc3f719a658c503abc4e54c594a41e"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"124_Nanomia"	3666	"RUN1"	"152"	"Custom"	"Eukaryota(86.36);Metazoa(86.36);Platyhelminthes(51.89);Monogenea(34.70);Monopisthocotylea(34.70);Ancyrocephalidae(34.70);Haliotrema(17.35);Haliotrema fleti(17.35);"	"Eukaryota	Metazoa"
"285cbcb7d6193244b7a3e1511d056278"	"Eukaryota_Chordata_Craniata_Actinopterygii_Actinopteri_Labrus_Labrus bergylta"	"169_Physalia"	1313	"RUN1"	"152"	"Custom"	"Eukaryota(91.67);Metazoa(91.67);Chordata(91.67);Craniata(91.67);Vertebrata(91.67);Chondrichthyes(55.00);Elasmobranchii(55.00);Squalimorphii(36.66);Echinorhinidae(18.33);Echinorhinus(18.33);Echinorhinus cookei (18.33);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata"
"b7f540728dd7eee8cc851b987ede234e"	"Eukaryota_Chordata_Craniata_Actinopterygii_Actinopteri_Labrus_Labrus bergylta"	"169_Physalia"	1033	"RUN1"	"152"	"Custom"	"Eukaryota(91.67);Metazoa(91.67);Chordata(91.67);Craniata(91.67);Vertebrata(91.67);Chondrichthyes(55.00);Elasmobranchii(55.00);Squalimorphii(36.66);Echinorhinidae(18.33);Echinorhinus(18.33);Echinorhinus cookei (18.33);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata"
"87cc6ef09af1a58ad56184a8e31b183c"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"170_Physalia"	4068	"RUN1"	"152"	"Custom"	"Eukaryota(90.99);Metazoa(90.99);Ecdysozoa(90.99);Arthropoda(90.99);Crustacea(90.99);Malacostraca(90.99);Eumalacostraca(90.99);Eucarida(90.99);Decapoda(90.99);Pleocyemata(90.99);Caridea(90.99);Alpheoidea(72.93);Alpheidae(54.80);Alpheus(18.33);Alpheus gracilipes(18.33);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Caridea	Alpheoidea"
"03ba31eae8ffb462587749122ac396e8"	"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca"	"170_Physalia"	3877	"RUN1"	"152"	"Custom"	"Eukaryota(90.99);Metazoa(90.99);Ecdysozoa(90.99);Arthropoda(90.99);Crustacea(90.99);Malacostraca(90.99);Eumalacostraca(90.99);Eucarida(90.99);Decapoda(90.99);Pleocyemata(90.99);Caridea(90.99);Alpheoidea(72.93);Alpheidae(54.80);Alpheus(18.33);Alpheus gracilipes(18.33);"	"Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Caridea	Alpheoidea"
"285cbcb7d6193244b7a3e1511d056278"	"Eukaryota_Chordata_Craniata_Actinopterygii_Actinopteri_Labrus_Labrus bergylta"	"170_Physalia"	603	"RUN1"	"152"	"Custom"	"Eukaryota(91.67);Metazoa(91.67);Chordata(91.67);Craniata(91.67);Vertebrata(91.67);Chondrichthyes(55.00);Elasmobranchii(55.00);Squalimorphii(36.66);Echinorhinidae(18.33);Echinorhinus(18.33);Echinorhinus cookei (18.33);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata"
"b7f540728dd7eee8cc851b987ede234e"	"Eukaryota_Chordata_Craniata_Actinopterygii_Actinopteri_Labrus_Labrus bergylta"	"170_Physalia"	624	"RUN1"	"152"	"Custom"	"Eukaryota(91.67);Metazoa(91.67);Chordata(91.67);Craniata(91.67);Vertebrata(91.67);Chondrichthyes(55.00);Elasmobranchii(55.00);Squalimorphii(36.66);Echinorhinidae(18.33);Echinorhinus(18.33);Echinorhinus cookei (18.33);"	"Eukaryota	Metazoa	Chordata	Craniata	Vertebrata"
