"OTU" "Feature_name" "261_179_Lych_384_193_S1_L001" "261_180_Reso_372_205_S2_L001" "261_184_Barg_360_217_S3_L001" "261_185_Barg_348_229_S4_L001" "261_186_Reso_336_241_S5_L001" "261_188_Barg_324_253_S6_L001" "261_189_Barg_312_265_S7_L001" "261_190_Eren_300_277_S8_L001" "261_191_Marr_383_194_S9_L001" "261_193_Reso_371_206_S10_L001" "261_200_Fril_359_218_S11_L001" "261_201_Apol_347_230_S12_L001" "261_202_Apol_335_242_S13_L001" "261_204_Keph_311_266_S15_L001" "261_205_Keph_299_278_S16_L001" "261_206_Nano_382_195_S17_L001" "261_207_Unde_370_207_S18_L001" "261_208_Lily_358_219_S19_L001" "261_209_Phys_346_231_S20_L001" "261_210_Lych_334_243_S21_L001" "261_211_Apol_322_255_S22_L001" "261_212_Fril_310_267_S23_L001" "261_213_Fors_298_279_S24_L001" "261_214_Lych_381_196_S25_L001" "261_215_Agal_369_208_S26_L001" "261_216_Diph_357_220_S27_L001" "261_217_Diph_345_232_S28_L001" "261_218_Diph_333_244_S29_L001" "261_219_Diph_321_256_S30_L001" "261_220_Cord_309_268_S31_L001" "261_221_Diph_297_280_S32_L001" "261_222_Gymn_380_197_S33_L001" "261_223_Cras_368_209_S34_L001" "261_225_Nano_344_233_S36_L001" "261_226_Desm_332_245_S37_L001" "261_229_Chun_320_257_S38_L001" "261_230_Lych_308_269_S39_L001" "261_231_Fors_296_281_S40_L001" "261_232_Barg_379_198_S41_L001" "261_237_Chun_367_210_S42_L001" "261_238_Gymn_355_222_S43_L001" "261_239_Barg_343_234_S44_L001" "261_240_Chun_331_246_S45_L001"
"Eukaryota_Metazoa_Chordata_Craniata__100_195_92.10____NA_NA_NA_NA" "3f1da4a10984e07bee29ae79e7f62039" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "27" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Dinophyceae_Syndiniales_Eudubosquellidae_Euduboscquella__96.92_195_71.04__NA_NA_NA_NA" "d29ca487f066f8c7022767446f5aec09" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles_Bacillariophyta_Coscinodiscophyceae_Thalassiosirophycidae_Thalassiosirales__100_195_92.10__NA_NA_NA_NA" "059a29b6af545ee8a44fffa638cb49b5" "0" "0" "29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata__92.23_193_85.71____NA_NA_NA_NA" "3b50fc64bb902861b82b0a84b83f5b0e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles_Chrysophyceae__100_193_91.27_____NA_NA_NA_NA" "c8a80aac1f05b6c8168e719fb08e73b0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca__89.21_160_88.15_NA_NA_NA_NA" "34b717e02c0b52a5fc00c8a1074492a2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Litostomatea_Haptoria_Pleurostomatida_Litonotidae_Loxophyllum__97.12_208.00_ 72.41_NA_NA" "4fe264e83645edfd29fe4f4cbabeede9" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Dinophyceae_Syndiniales_Eudubosquellidae_Euduboscquella__95.35_215_70.92__NA_NA_NA_NA" "d6277778b518efa7236dfeb51deb5cbd" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Hymenostomatida_Tetrahymenina__98.45_193_90.80_NA_NA_NA_NA" "0c63d69257e380381a6c8a1be50ba27d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0"
"Eukaryota_Stramenopiles_Bacillariophyta_Coscinodiscophyceae_Thalassiosirophycidae_Thalassiosirales_Thalassiosiraceae_Thalassiosira__100_215_ 91.75_NA_NA_NA" "e02b1b38896c65f9b4da9585dc1a17e4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Salpidae__100_194_90.92_NA_NA_NA_NA" "d1f823d406cee464820b009efd2cfb5f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Dinophyceae_Suessiales__100_194_91.92____NA_NA_NA_NA" "73c09fb08f0246801b32e612ac62fade" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__98.1_211_ 90.70_NA_NA_NA" "0060c9af70be2f4f8e08ce6dcf9e891e" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles_Chrysophyceae_Chromulinales_Paraphysomonadaceae_Paraphysomonas__96.89_193_71.95__NA_NA_NA_NA" "4e864c319719f2f94b13105de583d43e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata__96.94_125_71.83__NA_NA_NA_NA" "1a9b2319915dfaea3907d4e3f34388a9" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles_Bacillariophyta__90.23_215_86.09_____NA_NA_NA_NA" "744ca76cf329950948508c1e5aaf2952" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca__84.9_192_82.23__NA_NA_NA_NA" "6a4499f709891ec1a8d0f5717f521432" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0"
