"OTU" "Feature_name" "166_179_Lych_384_193_S1_L001" "166_180_Reso_372_205_S2_L001" "166_184_Barg_360_217_S3_L001" "166_185_Barg_348_229_S4_L001" "166_186_Reso_336_241_S5_L001" "166_188_Barg_324_253_S6_L001" "166_189_Barg_312_265_S7_L001" "166_191_Marr_383_194_S9_L001" "166_193_Reso_371_206_S10_L001" "166_200_Fril_359_218_S11_L001" "166_201_Apol_347_230_S12_L001" "166_202_Apol_335_242_S13_L001" "166_203_Barg_323_254_S14_L001" "166_204_Keph_311_266_S15_L001" "166_205_Keph_299_278_S16_L001" "166_206_Nano_382_195_S17_L001" "166_207_Unde_370_207_S18_L001" "166_208_Lily_358_219_S19_L001" "166_209_Phys_346_231_S20_L001" "166_210_Lych_334_243_S21_L001" "166_211_Apol_322_255_S22_L001" "166_212_Fril_310_267_S23_L001" "166_213_Fors_298_279_S24_L001" "166_214_Lych_381_196_S25_L001" "166_215_Agal_369_208_S26_L001" "166_216_Diph_357_220_S27_L001" "166_217_Diph_345_232_S28_L001" "166_218_Diph_333_244_S29_L001" "166_219_Diph_321_256_S30_L001" "166_220_Cord_309_268_S31_L001" "166_221_Diph_297_280_S32_L001" "166_222_Gymn_380_197_S33_L001" "166_223_Cras_368_209_S34_L001" "166_224_Barg_356_221_S35_L001" "166_225_Nano_344_233_S36_L001" "166_226_Desm_332_245_S37_L001" "166_229_Chun_320_257_S38_L001" "166_230_Lych_308_269_S39_L001" "166_231_Fors_296_281_S40_L001" "166_232_Barg_379_198_S41_L001" "166_237_Chun_367_210_S42_L001" "166_238_Gymn_355_222_S43_L001" "166_239_Barg_343_234_S44_L001" "166_240_Chun_331_246_S45_L001"
"Eukaryota_Cercozoa_Thaumatomonadida__98.72_78_72.19_NA_NA" "f2908d42501f7dc525c59d6617747c6f" "0" "0" "0" "43" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__94_150_70.49__NA_NA" "c9416675c7458774b2fd2e968a79d48e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ctenophora__100_143_91.56__NA_NA" "1c69a787700f25fd1e1a3de3b7e3bb02" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__95.9_122_87.83__NA_NA" "33f0afff6670066d8ea30ff06bf3159d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41" "0" "0" "0" "0"
"Eukaryota_Cercozoa__92.07_164_87.22__NA_NA" "d938041c3b2672b0759d468ba09706f1" "0" "0" "36" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__91.88_160_86.80___NA_NA" "55b6e9f1ac5eb4230c3cce0ba9d27a19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "36" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Scyphozoa__97.56_82_89.69_NA_NA" "4373f428758b0ec5e7af0189d0bf039f" "0" "0" "30" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__88.48_165.00_ 84.77" "c8478bc1d2a65be2bbe7d6f4bfd31652" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Scyphozoa__87.35_166_88.55_NA_NA" "8d6db453ee5751ae6bab1e398cd5f6dc" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_uncultured Cercozoa_uncultured Cercozoa___uncultured Cercozoa_NA_ 98.82" "320d5707f4b66bb797d2925cf9808978" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata__97.56_ 82.00_ 89.69" "1f1e2685aff6133f47c35ebb597fdd67" "0" "0" "0" "14" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bacillariophyta_Bacillariophyceae_Naviculales_Neidiaceae_Neidium_Neidium sp_NA_ 87.20" "219b5813e80b4e3f5ae76e94a5e60846" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__87.07_147_83.02___NA_NA" "fb2f967efa023363429a0c752e29c897" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea__96.15_115_90.53_NA_NA" "d5dd3749ea1d9c0e4845e812658c7c82" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__92.07_164_87.03__NA_NA" "220fe7d7280c7a17fa1b0f94e2e8a4de" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0"
"Eukaryota__94.81_77_88.15___NA_NA" "9ed060535f02ae4b45cd5f743d738f25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__89.57_163_85.55___NA_NA" "f77ee56aef22ede30b1bc024410a61d9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_151_89.51___NA_NA" "fe3e30c9122e5a505f84994a74a74047" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia__98.19_166.00_ 90.86" "9145f543a6b9eca15df05e46a69b750b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0"
"Eukaryota_Cercozoa__91.03_145_86.48__NA_NA" "b7408dc59685b18595a97b205c59e0dd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_149.00_ 91.63" "000313afe269d02da34156fdc6c0de09" "0" "0" "0" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa_Thaumatomonadida_uncultured Thaumatomonadida_uncultured Thaumatomonadida__uncultured Thaumatomonadida_NA_100.00" "46a2879499b03422a8079d7f9fab338d" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__99.38_162_86.53__NA_NA" "422f0d32923d495463cc928b28980c51" "0" "0" "0" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.02_102_ 90.45_NA" "c91e95be445785b7410f82123c0251f8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.52_209.00_ 91.88" "449f5314ebae355c22f9da25e156aaed" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "11" "0" "0"
"Eukaryota_Cercozoa_Thecofilosea_Tectofilosida_Chlamydophryidae__92.72_151.00_ 87.53" "f484bd3aa55440e11293fb0220fa7f8c" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__94.28_88_87.52__NA_NA" "dd50f2042f60196ed771bcb82d0459dd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bacillariophyta_Bacillariophyceae_Bacillariales_Bacillariaceae_Hantzschia__ 91.39_151.00" "dcaad153e62caec7eadaa5e95245df57" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__87.88_165_85.60___NA_NA" "7bd05ce91e0b6185f91c2950c2d22de6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0"
"Eukaryota_Cercozoa_uncultured Cercozoa_uncultured Cercozoa___uncultured Cercozoa_NA_ 98.65" "093ecfd0d1ac4e9c72f8fdd43892e409" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.8_83_89.90___NA_NA" "69a5e78b93c2e54a6665b1974aa6aa6e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0"
"Eukaryota__92.05_151_86.58___NA_NA" "b37f9b827e2a69bbbabe525488daf4ee" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__94.52_109_83.00___NA_NA" "48718cb2b83cbbb8261af8bb66755318" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
