"OTU" "Feature_name" "17nine_179_Lych_384_193_S1_L001" "17nine_180_Reso_372_205_S2_L001" "17nine_185_Barg_348_229_S4_L001" "17nine_186_Reso_336_241_S5_L001" "17nine_188_Barg_324_253_S6_L001" "17nine_189_Barg_312_265_S7_L001" "17nine_191_Marr_383_194_S9_L001" "17nine_193_Reso_371_206_S10_L001" "17nine_200_Fril_359_218_S11_L001" "17nine_201_Apol_347_230_S12_L001" "17nine_202_Apol_335_242_S13_L001" "17nine_204_Keph_311_266_S15_L001" "17nine_205_Keph_299_278_S16_L001" "17nine_206_Nano_382_195_S17_L001" "17nine_207_Unde_370_207_S18_L001" "17nine_208_Lily_358_219_S19_L001" "17nine_209_Phys_346_231_S20_L001" "17nine_210_Lych_334_243_S21_L001" "17nine_211_Apol_322_255_S22_L001" "17nine_212_Fril_310_267_S23_L001" "17nine_213_Fors_298_279_S24_L001" "17nine_214_Lych_381_196_S25_L001" "17nine_215_Agal_369_208_S26_L001" "17nine_216_Diph_357_220_S27_L001" "17nine_217_Diph_345_232_S28_L001" "17nine_218_Diph_333_244_S29_L001" "17nine_219_Diph_321_256_S30_L001" "17nine_220_Cord_309_268_S31_L001" "17nine_221_Diph_297_280_S32_L001" "17nine_222_Gymn_380_197_S33_L001" "17nine_223_Cras_368_209_S34_L001" "17nine_224_Barg_356_221_S35_L001" "17nine_225_Nano_344_233_S36_L001" "17nine_226_Desm_332_245_S37_L001" "17nine_229_Chun_320_257_S38_L001" "17nine_230_Lych_308_269_S39_L001" "17nine_231_Fors_296_281_S40_L001" "17nine_232_Barg_379_198_S41_L001" "17nine_237_Chun_367_210_S42_L001" "17nine_238_Gymn_355_222_S43_L001" "17nine_239_Barg_343_234_S44_L001" "17nine_240_Chun_331_246_S45_L001"
"Eukaryota__96.35_138_86.44___NA_NA" "c732328f0be40069816bded618402ab7" "0" "0" "59" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_88_90.98_NA_NA" "5248a408aaeba4c21a1dc6f36208ae53" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_88_90.98_NA_NA" "eb747bf5076229a6daa929591e9cd04f" "0" "0" "0" "0" "0" "0" "24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0"
"Eukaryota__90.18_163_83.42___NA_NA" "94fbb4e1c2d5db99610aa111695ac7ce" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.34_164_86.09___NA_NA" "268d77a6dafdfbf44a3a3ab4f3d49813" "0" "0" "0" "0" "0" "29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__90.18_163_83.42___NA_NA" "f5a16a94fdc9d18d2d4b44feee7e893a" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__100_169_91.83__NA_NA" "8716f7ef5bf7a6f4074037627d9526dd" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cercozoa__95.78_124_88.63__NA_NA" "411cde8be91e4c5698fea7a344a0c0ec" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_97_86.54___NA_NA" "7ed64036469c34e729185ad267fa6627" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.62_148_87.43___NA_NA" "4d5de5b216cbcee3c17d5aa677ef8903" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.34_164_86.09___NA_NA" "47ab60872e6386722929d9470144f103" "0" "0" "0" "7" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.62_148_87.43___NA_NA" "9729da4b9dc1e029c23eada5fcee8252" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chrysophyceae_Chrysophyceae_Chromulinales_Paraphysomonadaceae_Paraphysomonas__ 99.40_166.00" "c277060de7a706a220b84f52dd8241ff" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.39_163_89.96___NA_NA" "66683a7ef79c4c516d4c2b25ab0d6484" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__94.44_162.00_ 70.95" "9a825e0ad96bf47124e7fa886afd3092" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_97_91.08_NA_NA" "7ef6c49faf19e584cfcffd8cb1d9c8a9" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
