"OTU" "Feature_name" "179_300Apole_091_102_S1_L001" "179_304Crase_079_114_S2_L001" "179_305Crase_067_126_S3_L001" "179_309Forsk_055_138_S4_L001" "179_310Gymno_043_150_S5_L001" "179_311Lychn_031_162_S6_L001" "179_313Marru_019_174_S7_L001" "179_314Praya_007_186_S8_L001" "179_315Resom_090_103_S9_L001" "179_316Resom_078_115_S10_L001" "179_317Vogti_066_127_S11_L001" "179_319Frill_054_139_S12_L001" "179_320Forsk_042_151_S13_L001"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.25_149.00_ 89.04_NA" "028ec9bb16c94e26aae00ab6e7a1934f" "0" "0" "0" "0" "0" "31" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Blastocladiomycota_Incertae Sedis_Blastocladiales__91.91_173_ 86.85_NA_NA_NA" "f12b43fba48cb06a81929991a2da8bce" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0" "19" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 94.74_114.00_ 88.13_NA" "73e03024cc4435cb10911d6c92550dfe" "0" "0" "0" "0" "0" "30" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Basidiomycota_Ustilaginomycotina_Malasseziales_Malasseziaceae_Malassezia_uncultured fungus_NA_100.00_164.00_73.42" "47ab60872e6386722929d9470144f103" "0" "0" "19" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_uncultured__ 99.39_165.00_ 90.70_NA" "26cfc77f291f6d6dc90f853aae047923" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "29" "0" "0"
"Eukaryota_Bilateria__100_169_91.74__NA_NA_NA_NA" "e7785a3a728b4591c21ed4aa76b8d276" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gymnodiniphycidae__100_162_ 91.76_NA_NA_NA" "b90dfdf55b7d2907ca28d7381aae7ef1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26"
"Eukaryota_Chlorophyta_Mamiellophyceae_Mamiellales_Bathycoccus__100_163.00_ 73.42_NA_NA" "7d41332b9be9796666702266eb532bb3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa__99.37_158.00_ 90.85_NA_NA" "68329d3a00ef038be88ae9fc559866bb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "14"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 94.57_184.00_ 70.89_NA" "01ba0da35bb3eef3427eb1563ae137e2" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__93.69_159_87.86__NA_NA_NA_NA" "5fed9637bef4ce29d52c579f3b435808" "0" "0" "0" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea__93.25_163.00_ 87.33_NA_NA" "b6f919360c8a5b38653a9da6ec8995e4" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 90.48_159.00_ 85.48_NA" "4c40e18f75d12022f1a3e4a7552aa31c" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa__99.37_158.00_ 90.85_NA_NA" "d2902c38ac247c83d177249dd110fa3f" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10"
"Eukaryota_Bilateria__86.98_169_82.89__NA_NA_NA_NA" "c7f467dfa814a5cd550ad8235d76d6ec" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 98.75_160.00_90.76" "a23d524e3286b0bf4d0d36edd9879ffd" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__93.69_159_87.86__NA_NA_NA_NA" "810c8425e2f7c8f58da6a0944fe1859d" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea__99.33_150.00_ 91.23_NA_NA" "79cfa421b5dca6a626ffd54ea3a95bf0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21"
"Eukaryota_SAR_Rhizaria_Retaria_Polycystinea_uncultured_uncultured marine eukaryote_NA_ 93.21_162.00_70.11" "10f7376e88d956147c12f5938526d6e9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa__ 99.39_164.00_ 90.89_NA" "dce51a5e4a02af007d5670b403a99b63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.23_159.00_ 71.76_NA_NA" "706e2bbc110cbfeaddf0c96a070477cb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20" "0" "0"
"Eukaryota__95.81_167_87.33___NA_NA_NA_NA" "453207192a1f2c642a2ffe12beb0aa8c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "9"
"Eukaryota_Porifera_Demospongiae_Spongillida__100_161_ 91.43_NA_NA_NA" "068184d229488718f08a9ae3e2735a80" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0"
"Eukaryota_Bilateria__91.85_184_86.57__NA_NA_NA_NA" "cc93682fb9e5f2a1923cc3c0238cb4cf" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__86.11_180_82.33__NA_NA_NA_NA" "87366d85752934915c8e55e6cca6e688" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0"
