"OTU" "Feature_name" "152_264_Nano_093_100_S1_L001" "152_265_Nano_081_112_S2_L001" "152_266_Nano_069_124_S3_L001" "152_267_Nano_057_136_S4_L001" "152_268_Nano_045_148_S5_L001" "152_269_Nano_033_160_S6_L001" "152_270_Nano_021_172_S7_L001" "152_271_Nano_009_184_S8_L001" "152_272_Nano_092_101_S9_L001" "152_273_Nano_080_113_S10_L001" "152_274_Nano_068_125_S11_L001" "152_275_Nano_056_137_S12_L001" "152_276_Sulc_044_149_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_154_ 73.34" "0cae4a82951d95b6f488b0c06e21a45a" "0" "0" "0" "0" "0" "0" "0" "35" "0" "19" "12" "0" "21"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_152_ 73.32" "8b0998b6a92046038567274f874fd2f3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "59" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia__100_153_ 91.67" "25f1d7249459af5b18d4acdb49a9e738" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "57" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Malacostraca__99.35_154_ 91.28" "d89865efe6232480bed8133cc25601ee" "0" "0" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_90_72.80_NA_NA" "0c9ac38b71fcf52718565d2bda846ef4" "0" "0" "0" "0" "0" "0" "0" "0" "32" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_90_72.80_NA_NA" "3d832b1f5a23241b052b81bd9351d044" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0"
"Eukaryota__100_24_90.27___NA_NA" "76efd604740049184dca1315e2ffcba0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_182_ 73.57" "05cc4f7e962c65f12e10eab9b6b34075" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Unknown Eukaryote_N/A_ N/A_N/A___NA_NA" "c902f1e945fae0310af697fcb294295a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14"
"Eukaryota_Unknown Eukaryote_N/A_ N/A_N/A___NA_NA" "392d08ab43f8bea05eacdfc4c0ce4e68" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_206_ 73.76" "87e35672bde05827e70ebadf8566c400" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "8" "0"
"Eukaryota_Unknown Eukaryote_N/A_ N/A_N/A___NA_NA" "76a3b30705f3d54ffeebf39a29b827b4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0"
"Eukaryota__97.62_88_88.61___NA_NA" "0c6b879e54c904823b964c91a88eb2fb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_154_ 73.34" "b6338f2fcd0ce0778bf0ddf1c74de4f1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2" "0"
