"OTU" "Feature_name" "272_300Apole_091_102_S1_L001" "272_304Crase_079_114_S2_L001" "272_305Crase_067_126_S3_L001" "272_309Forsk_055_138_S4_L001" "272_310Gymno_043_150_S5_L001" "272_311Lychn_031_162_S6_L001" "272_313Marru_019_174_S7_L001" "272_314Praya_007_186_S8_L001" "272_315Resom_090_103_S9_L001" "272_316Resom_078_115_S10_L001" "272_317Vogti_066_127_S11_L001" "272_319Frill_054_139_S12_L001" "272_320Forsk_042_151_S13_L001"
"Eukaryota_environmental samples__94.88_215_71.50______" "c0aa49ddbc63635a36152b5c0f519c3e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "46" "0" "0"
"Eukaryota_Fungi__100_232_92.28______" "c726cae3236793fa9c5e3cc14ae22bfa" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27" "17" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Pleocyemata__94.97" "e0b8d4506529b1b6b9a983ce07173172" "0" "0" "0" "0" "0" "40" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.4_250_91.44_______" "46a1fb641ef9d7f90b3989e471c75d97" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "38" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__98.73_157_91.06_____" "ffb56720427cf0b2195fff8011d6689a" "0" "0" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__94.37_231_89.21_____" "a7af2656777c4f22600c5bbcd4c8260d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "36" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__98.58_141_90.82_____" "0ae18f80c0ea3a394b161648061d20f3" "0" "0" "0" "0" "0" "0" "36" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__94.37_231_89.21_____" "45394605efd8b2f109bb9be8c9b8c90a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "33" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Pleocyemata__94.97" "a1f012baf9dc3b9d5b2ef431a558b943" "0" "0" "0" "0" "0" "32" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__96.57" "468c97d41ed865a6f6fab4be9b62c5f5" "0" "0" "0" "0" "0" "32" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Rhizaria_Cercozoa__96.83_252_90.88_____" "4aaad0a028e03fe5d878f4944ac5de2d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "13"
"Eukaryota_Metazoa_Lophotrochozoa_Annelida_Polychaeta__99.22_257_90.16___" "6b5f3cf3296d5cfab93b2014009292a8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "30" "0"
"Eukaryota_Fungi_Dikarya_Basidiomycota_Agaricomycotina_Agaricomycetes_Agaricomycetidae_Agaricales__99.21_253_73.79" "623a58e8082fa42373b0d65d09f15dd2" "0" "0" "0" "0" "0" "0" "0" "0" "15" "0" "0" "0" "15"
"Eukaryota__94.01_217_88.73_______" "eb9f984ab795a631df57b9bd28f70873" "0" "0" "8" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__93.17" "ce19d2768ef48cac8962994cad18d387" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__97.45_196_90.66_____" "81389e75053ed109bd13a364475089ae" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0"
"Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_Liliopsida_Asparagales_Amaryllidaceae_Allioideae_Allieae" "78c09c17bee1d9bd7d4fe434c0ffa119" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26"
"Eukaryota_environmental samples_uncultured eukaryote__97.09_210_90.74_____" "dad98e73cc18e8595223d3d62ff95572" "0" "0" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Lophotrochozoa__96.44_253_72.48_____" "ab2532e7d78758924a6cd93510428b0f" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.6_247_91.55_______" "97845c9013e52cb49c311e93483b654a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25" "0" "0"
"Eukaryota__92.79_208_87.96_______" "46b788849ed162013b0a3cb4d52d8878" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25" "0" "0" "0"
"Eukaryota__94.66_206_86.93_______" "aabd61c3007da0144c24c90fe33fbf36" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24"
"Eukaryota__99.21_252_92.23_______" "5a538396fc247e64a227ba5101c018f6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "6" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__97.45_196_90.66_____" "357ff99d887719eee9df8f1fedb27d87" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "24" "0" "0"
"Eukaryota__92.52_254_89.06_______" "e86ce2183987db9978d5fca10e7b4f0e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__94.07" "c7b52c18ab0c47eacf4d80da5520632d" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Lophotrochozoa_Annelida_Polychaeta__99.22_257_90.16___" "8a39b5767f9ceb2f84a45dd0aab93710" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0"
