"OTU" "Feature_name" "179_108_Diphyes_384_193_S1_L001" "179_109_Apolemia_372_205_S2_L001" "179_110_Vogtia_360_217_S3_L001" "179_111_Forskalia_348_229_S4_L001" "179_112_Forskalia_336_241_S5_L001" "179_113_Chuniphyes_324_253_S6_L001" "179_114_Nanomia_312_265_S7_L001" "179_115_Nanomia_300_277_S8_L001" "179_116_Nanomia_383_194_S9_L001" "179_117_Sphaeronectes_371_206_S10_L001" "179_118_Muggiaea_359_218_S11_L001" "179_119_Muggiaea_347_230_S12_L001" "179_120_Muggiaea_335_242_S13_L001" "179_121_Muggiaea_323_254_S14_L001" "179_122_Nanomia_311_266_S15_L001" "179_123_Diphyes_299_278_S16_L001" "179_124_Nanomia_382_195_S17_L001" "179_125_Nanomia_370_207_S18_L001" "179_126_Nanomia_358_219_S19_L001" "179_127_Sphaeronectes_346_231_S20_L001" "179_128_Sphaeronectes_334_243_S21_L001" "179_129_Sphaeronectes_322_255_S22_L001" "179_130_Sphaeronectes_310_267_S23_L001" "179_131_Sphaeronectes_298_279_S24_L001" "179_132_Sphaeronectes_381_196_S25_L001" "179_133_Nanomia_369_208_S26_L001" "179_134_Sphaeronectes_357_220_S27_L001" "179_135_Sphaeronectes_345_232_S28_L001" "179_136_Sphaeronectes_333_244_S29_L001" "179_137_Diphyes_321_256_S30_L001" "179_138_Diphyes_309_268_S31_L001" "179_139_Nanomia_297_280_S32_L001" "179_140_Nanomia_380_197_S33_L001" "179_141_Nanomia_368_209_S34_L001" "179_142_Muggiaea_356_221_S35_L001" "179_143_Nanomia_344_233_S36_L001" "179_159_Physalia_332_245_S37_L001" "179_160_Physalia_320_257_S38_L001" "179_162_Physalia_308_269_S39_L001" "179_165_Physalia_296_281_S40_L001" "179_166_Physalia_379_198_S41_L001" "179_167_Physalia_367_210_S42_L001" "179_169_Physalia_355_222_S43_L001" "179_170_Physalia_343_234_S44_L001" "179_171_Physalia_331_246_S45_L001"
"Eukaryota__88.41_164_85.09_________NA_NA_NA_NA" "340794f4b75fcab9844d51a126e4c37a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "57" "0" "40"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Peritrichia_Vorticellidae_Carchesium_Carchesium polypinum__100_151_73.25_NA_NA_NA_NA" "ce139c0c403dcb786461b38223ccec1f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "95" "0"
"Eukaryota__95.81_167_87.04_________NA_NA_NA_NA" "676907062db621ffb5640600157d438e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "68" "0"
"Eukaryota_Alveolata__91.25_160_86.02________NA_NA_NA_NA" "991f40ebbd2b518cc44735ab22118dfe" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "34" "26"
"Eukaryota_Alveolata__91.25_160_86.02________NA_NA_NA_NA" "c6459ed2e0be31b1e197f0920d9f2450" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "27" "29"
"Eukaryota_Rhizaria_Cercozoa__89.16_166_86.59_______NA_NA_NA_NA" "e759b947020c5d3950f75f41f0fd7781" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "53"
"Eukaryota__88.41_164_85.09_________NA_NA_NA_NA" "dd80f2d8284c8c28dc48c15dd0093205" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "36" "0" "13"
"Eukaryota_Fungi_Chytridiomycota_Chytridiomycetes__95.73_164_71.00______NA_NA_NA_NA" "a5bb9eb40c1d5f9f683bd413ccceecf1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "48" "0"
"Eukaryota__95.81_167_87.04_________NA_NA_NA_NA" "921d2ec38fd81004531c04e58db7bcc8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "48" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Peritrichia_Vorticellidae_Vorticella__98.01_151_72.19__NA_NA_NA_NA" "2f80938fc18e7677d4220e2dc75440b4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "48" "0" "0"
